Player,Pos,Age,Team,G,MP,FG,2P,3P,eFG,FT,TS,FTr,3PAr,FG+,2P+,3P+,eFG+,FT+,TS+,FTr+,3PAr+,FG Add,TS Add,Player Reference,Season,League
Precious Achiuwa,C-PF,24,TOT,48,1020,.491,.554,.268,.520,.641,.537,.199,.220,103,101,73,95,82,92,78,56,-17.9,-32.0,achiupr01,2023-2024,NBA
Precious Achiuwa,C,24,TOR,25,437,.459,.528,.277,.497,.571,.512,.247,.276,96,97,75,91,73,88,97,70,-17.3,-26.6,achiupr01,2023-2024,NBA
Precious Achiuwa,PF,24,NYK,23,583,.526,.578,.250,.546,.773,.566,.145,.158,111,106,68,100,99,97,57,40,-0.6,-5.4,achiupr01,2023-2024,NBA
Bam Adebayo,C,26,MIA,45,1555,.510,.517,.091,.510,.784,.569,.418,.016,107,95,25,93,100,98,164,4,-50.8,-21.0,adebaba01,2023-2024,NBA
Ochai Agbaji,SG,23,TOT,54,1045,.416,.543,.318,.506,.739,.518,.086,.566,87,99,87,92,94,89,34,144,-22.6,-35.9,agbajoc01,2023-2024,NBA
Ochai Agbaji,SG,23,UTA,51,1003,.426,.551,.331,.520,.750,.531,.080,.570,89,101,90,95,96,91,32,145,-13.9,-26.4,agbajoc01,2023-2024,NBA
Ochai Agbaji,SG,23,TOR,3,42,.278,.444,.111,.306,.667,.336,.167,.500,58,81,30,56,85,58,66,127,-8.7,-9.5,agbajoc01,2023-2024,NBA
Santi Aldama,PF,23,MEM,44,1091,.429,.527,.344,.521,.597,.531,.154,.533,90,96,94,95,76,91,61,136,-21.7,-44.3,aldamsa01,2023-2024,NBA
Nickeil Alexander-Walker,SG,25,MIN,55,1268,.429,.532,.376,.552,.763,.568,.117,.657,90,97,102,101,97,97,46,168,2.9,-10.0,alexani01,2023-2024,NBA
Grayson Allen,SG,28,PHO,49,1612,.510,.553,.482,.658,.892,.690,.225,.616,107,101,131,120,114,118,88,157,91.2,98.0,allengr01,2023-2024,NBA
Jarrett Allen,C,25,CLE,48,1473,.646,.653,.000,.646,.744,.674,.369,.010,136,119,,118,95,116,145,3,93.2,101.0,allenja01,2023-2024,NBA
Jose Alvarado,PG,25,NOP,37,616,.418,.505,.357,.523,.684,.541,.173,.586,88,93,97,95,87,93,68,149,-11.1,-19.8,alvarjo01,2023-2024,NBA
Kyle Anderson,PF,30,MIN,55,1201,.464,.496,.219,.477,.700,.520,.360,.115,97,91,60,87,89,89,142,29,-39.7,-40.1,anderky01,2023-2024,NBA
Giannis Antetokounmpo,PF,29,MIL,54,1888,.616,.652,.255,.627,.653,.651,.581,.092,129,119,70,114,83,112,229,24,161.3,174.2,antetgi01,2023-2024,NBA
Thanasis Antetokounmpo,PF,31,MIL,23,106,.524,.550,.000,.524,,.524,.000,.048,110,101,,96,,90,,12,-1.0,-2.5,antetth01,2023-2024,NBA
Cole Anthony,PG,23,ORL,54,1241,.432,.488,.326,.488,.839,.549,.343,.345,91,89,89,89,107,94,135,88,-60.7,-38.9,anthoco01,2023-2024,NBA
OG Anunoby,SF,26,TOT,41,1400,.498,.606,.379,.588,.774,.609,.176,.475,105,111,103,107,99,105,69,121,38.1,27.0,anunoog01,2023-2024,NBA
OG Anunoby,SF,26,TOR,27,900,.489,.608,.374,.584,.717,.598,.143,.508,103,111,102,107,91,103,56,129,23.2,10.4,anunoog01,2023-2024,NBA
OG Anunoby,SF,26,NYK,14,500,.516,.602,.391,.596,.842,.630,.242,.408,108,110,106,109,107,108,95,104,14.9,16.6,anunoog01,2023-2024,NBA
Ryan Arcidiacono,PG,29,NYK,20,45,.000,,.000,.000,,.000,.000,1.000,,,,,,,,255,-6.6,-7.0,arcidry01,2023-2024,NBA
Deni Avdija,SF,23,WAS,54,1521,.521,.568,.405,.580,.740,.613,.335,.290,109,104,110,106,94,105,132,74,33.3,37.1,avdijde01,2023-2024,NBA
Deandre Ayton,C,25,POR,37,1172,.560,.560,,.560,.809,.577,.111,.000,118,103,,102,103,99,44,,10.4,-4.9,aytonde01,2023-2024,NBA
Udoka Azubuike,C,24,PHO,14,107,.727,.727,,.727,.273,.652,.500,.000,153,133,,133,35,112,197,,7.9,3.7,azubuud01,2023-2024,NBA
Ibou Badji,C,21,POR,17,199,.632,.632,,.632,.500,.620,.526,.000,133,116,,115,64,106,207,,3.2,1.7,badjiib01,2023-2024,NBA
Marvin Bagley III,C,24,TOT,37,743,.578,.592,.250,.583,.748,.620,.370,.042,121,108,68,106,95,106,146,11,20.2,25.4,baglema01,2023-2024,NBA
Marvin Bagley III,C,24,DET,26,478,.591,.606,.167,.594,.820,.638,.337,.033,124,111,45,108,105,109,133,8,16.6,22.9,baglema01,2023-2024,NBA
Marvin Bagley III,C,24,WAS,11,265,.556,.569,.333,.565,.652,.593,.426,.056,117,104,91,103,83,102,168,14,3.6,2.6,baglema01,2023-2024,NBA
Amari Bailey,PG,19,CHO,3,15,.286,.500,.000,.286,.500,.317,.286,.429,60,92,,52,64,54,112,109,-3.7,-4.2,baileam01,2023-2024,NBA
Patrick Baldwin Jr.,SF,21,WAS,17,123,.390,.316,.455,.512,.667,.540,.293,.537,82,58,124,93,85,93,115,137,-2.9,-3.9,baldwpa01,2023-2024,NBA
LaMelo Ball,PG,22,CHO,22,711,.433,.500,.355,.515,.865,.561,.246,.466,91,92,97,94,110,96,97,119,-27.6,-20.1,ballla01,2023-2024,NBA
Mo Bamba,C,25,PHI,32,338,.500,.520,.444,.559,.586,.571,.284,.265,105,95,121,102,75,98,112,67,2.2,-2.7,bambamo01,2023-2024,NBA
Paolo Banchero,PF,21,ORL,55,1923,.462,.492,.365,.505,.702,.549,.405,.238,97,90,99,92,90,94,160,61,-83.8,-76.3,banchpa01,2023-2024,NBA
Desmond Bane,SG,25,MEM,37,1277,.474,.551,.384,.562,.864,.597,.201,.460,100,101,105,103,110,102,79,117,20.1,21.4,banede01,2023-2024,NBA
Dalano Banton,PG,24,TOT,27,240,.377,.463,.174,.403,.743,.476,.455,.299,79,85,47,73,95,82,179,76,-22.4,-19.7,bantoda01,2023-2024,NBA
Dalano Banton,PG,24,BOS,24,171,.373,.486,.125,.392,.800,.468,.392,.314,78,89,34,72,102,80,154,80,-15.9,-13.7,bantoda01,2023-2024,NBA
Dalano Banton,PG,24,POR,3,69,.385,.421,.286,.423,.667,.491,.577,.269,81,77,78,77,85,84,227,69,-6.5,-6.0,bantoda01,2023-2024,NBA
Dominick Barlow,PF,20,SAS,23,307,.476,.481,.429,.494,.647,.531,.405,.083,100,88,117,90,83,91,159,21,-9.1,-10.3,barlodo01,2023-2024,NBA
Harrison Barnes,PF,31,SAC,54,1612,.483,.590,.397,.593,.820,.628,.258,.555,101,108,108,108,105,108,102,142,42.7,47.6,barneha02,2023-2024,NBA
Scottie Barnes,SG,22,TOR,55,1935,.473,.530,.353,.529,.779,.567,.270,.320,99,97,96,97,99,97,106,82,-32.5,-29.9,barnesc01,2023-2024,NBA
RJ Barrett,SG,23,TOT,45,1406,.475,.532,.343,.527,.747,.568,.333,.303,100,97,94,96,95,98,131,77,-27.7,-21.7,barrerj01,2023-2024,NBA
RJ Barrett,SG,23,NYK,26,766,.423,.469,.331,.478,.831,.536,.320,.335,89,86,90,87,106,92,126,85,-54.3,-41.6,barrerj01,2023-2024,NBA
RJ Barrett,SG,23,TOR,19,640,.549,.613,.366,.596,.639,.614,.353,.258,115,112,100,109,82,105,139,66,26.6,19.9,barrerj01,2023-2024,NBA
Charles Bassey,C,23,SAS,19,205,.725,.744,.000,.725,.833,.739,.150,.025,152,136,,132,106,127,59,6,14.2,13.3,bassech01,2023-2024,NBA
Emoni Bates,SF,20,CLE,10,76,.240,.200,.250,.340,.500,.348,.080,.800,50,37,68,62,64,60,31,204,-10.4,-12.2,batesem01,2023-2024,NBA
Keita Bates-Diop,PF-SF,28,TOT,41,613,.439,.522,.323,.506,.722,.536,.232,.419,92,96,88,92,92,92,91,107,-12.9,-16.0,bateske01,2023-2024,NBA
Keita Bates-Diop,SF,28,PHO,39,597,.427,.512,.312,.493,.722,.525,.240,.427,90,94,85,90,92,90,94,109,-16.4,-19.2,bateske01,2023-2024,NBA
Keita Bates-Diop,SF,28,BRK,2,16,.800,.750,1.000,.900,,.900,.000,.200,168,137,272,164,,154,,51,3.5,3.2,bateske01,2023-2024,NBA
Nicolas Batum,PF,35,TOT,34,846,.519,.684,.454,.681,.643,.684,.104,.719,109,125,124,124,82,117,41,183,36.0,28.5,batumni01,2023-2024,NBA
Nicolas Batum,PF,35,LAC,3,54,.375,1.000,.286,.500,,.500,.000,.875,79,183,78,91,,86,,223,-0.8,-1.3,batumni01,2023-2024,NBA
Nicolas Batum,PF,35,PHI,31,792,.528,.676,.467,.693,.643,.695,.110,.709,111,124,127,126,82,119,43,181,36.8,29.9,batumni01,2023-2024,NBA
Bradley Beal,SG,30,PHO,30,979,.495,.556,.363,.552,.775,.579,.206,.312,104,102,99,101,99,99,81,80,3.5,-2.9,bealbr01,2023-2024,NBA
Malik Beasley,SG,27,MIL,54,1595,.468,.537,.444,.633,.640,.635,.053,.741,98,98,121,115,82,109,21,189,80.5,50.9,beaslma01,2023-2024,NBA
MarJon Beauchamp,SF,23,MIL,40,567,.477,.550,.391,.567,.679,.583,.188,.463,100,101,107,103,87,100,74,118,5.7,.1,beaucma01,2023-2024,NBA
Jules Bernard,SG,24,WAS,6,28,.250,.500,.125,.292,,.292,.000,.667,53,92,34,53,,50,,170,-6.2,-7.0,bernaju01,2023-2024,NBA
Dāvis Bertāns,PF,31,TOT,18,127,.366,.000,.385,.549,.933,.620,.366,.951,77,,105,100,119,106,144,242,.1,3.5,bertada01,2023-2024,NBA
Dāvis Bertāns,PF,31,OKC,15,91,.385,.000,.417,.577,.933,.675,.577,.923,81,,114,105,119,116,227,235,1.5,6.0,bertada01,2023-2024,NBA
Dāvis Bertāns,PF,31,CHO,3,36,.333,,.333,.500,,.500,.000,1.000,70,,91,91,,86,,255,-1.4,-2.5,bertada01,2023-2024,NBA
Patrick Beverley,SG-PG,35,TOT,51,978,.422,.504,.328,.498,.800,.539,.252,.461,89,92,89,91,102,93,99,118,-25.8,-24.9,beverpa01,2023-2024,NBA
Patrick Beverley,PG,35,PHI,47,919,.432,.523,.321,.504,.810,.547,.261,.452,91,96,87,92,103,94,103,115,-21.1,-19.1,beverpa01,2023-2024,NBA
Patrick Beverley,PG,35,MIL,4,59,.294,.143,.400,.412,.500,.419,.118,.588,62,26,109,75,64,72,46,150,-4.6,-5.8,beverpa01,2023-2024,NBA
Saddiq Bey,SF,24,ATL,54,1757,.422,.537,.316,.504,.829,.554,.291,.520,89,98,86,92,106,95,114,132,-51.2,-37.7,beysa01,2023-2024,NBA
Goga Bitadze,C,24,ORL,46,836,.619,.643,.200,.624,.662,.643,.392,.055,130,118,54,114,84,110,154,14,27.6,25.7,bitadgo01,2023-2024,NBA
Onuralp Bitim,SG,24,CHI,1,3,,,,,,,,,,,,,,,,,.0,.0,bitimon01,2023-2024,NBA
Bismack Biyombo,C,31,MEM,30,718,.563,.563,,.563,.478,.560,.387,.000,118,103,,103,61,96,152,,3.6,-6.2,biyombi01,2023-2024,NBA
Anthony Black,PG,20,ORL,50,906,.486,.551,.369,.552,.651,.577,.344,.355,102,101,101,101,83,99,136,91,1.4,-2.5,blackan01,2023-2024,NBA
Leaky Black,SF,24,CHO,22,218,.436,.417,.467,.526,.643,.554,.359,.385,92,76,127,96,82,95,141,98,-1.7,-2.6,blackle01,2023-2024,NBA
Bogdan Bogdanović,SG,31,ATL,53,1534,.432,.520,.372,.543,.910,.571,.135,.598,91,95,101,99,116,98,53,152,-7.2,-18.6,bogdabo01,2023-2024,NBA
Bojan Bogdanović,SF-PF,34,TOT,30,977,.467,.522,.408,.566,.771,.596,.243,.487,98,95,111,103,98,102,96,124,16.0,13.2,bogdabo02,2023-2024,NBA
Bojan Bogdanović,PF,34,DET,28,921,.468,.518,.415,.569,.779,.600,.245,.487,98,95,113,104,99,103,96,124,18.2,16.5,bogdabo02,2023-2024,NBA
Bojan Bogdanović,SF,34,NYK,2,56,.435,.583,.273,.500,.600,.516,.217,.478,91,107,74,91,77,89,86,122,-2.2,-3.4,bogdabo02,2023-2024,NBA
Bol Bol,PF,24,PHO,18,158,.674,.794,.333,.717,.833,.730,.130,.261,142,145,91,131,106,125,51,67,15.6,14.3,bolbo01,2023-2024,NBA
Marques Bolden,C,25,MIL,2,3,,,,,,,,,,,,,,,,,.0,.0,boldema01,2023-2024,NBA
Devin Booker,PG,27,PHO,45,1597,.500,.552,.379,.557,.870,.617,.365,.302,105,101,103,102,111,106,144,77,16.0,68.9,bookede01,2023-2024,NBA
Brandon Boston Jr.,SF,22,LAC,16,119,.379,.421,.300,.431,.917,.482,.207,.345,80,77,82,79,117,83,81,88,-13.6,-12.7,bostobr01,2023-2024,NBA
Chris Boucher,PF,31,TOR,46,641,.493,.623,.326,.564,.747,.607,.409,.438,103,114,89,103,95,104,161,112,6.5,11.9,bouchch01,2023-2024,NBA
James Bouknight,SG,23,CHO,14,81,.439,.455,.433,.598,.500,.597,.049,.732,92,83,118,109,64,102,19,187,4.1,1.2,bouknja01,2023-2024,NBA
Jamaree Bouyea,PG,24,POR,6,57,.238,.385,.000,.238,,.238,.000,.381,50,70,,43,,41,,97,-13.0,-14.5,bouyeja01,2023-2024,NBA
Malaki Branham,PG,20,SAS,50,1010,.426,.504,.310,.488,.933,.507,.078,.405,89,92,84,89,119,87,31,103,-45.8,-59.6,branhma01,2023-2024,NBA
Christian Braun,SG,22,DEN,55,1046,.438,.474,.360,.495,.732,.535,.308,.317,92,87,98,90,93,92,121,81,-33.3,-33.7,braunch01,2023-2024,NBA
Mikal Bridges,SF,27,BRK,54,1900,.452,.508,.371,.528,.829,.573,.276,.408,95,93,101,96,106,98,108,104,-36.5,-20.0,bridgmi01,2023-2024,NBA
Miles Bridges,SF,25,CHO,43,1593,.464,.519,.371,.533,.860,.565,.179,.373,97,95,101,97,110,97,71,95,-22.9,-28.0,bridgmi02,2023-2024,NBA
Oshae Brissett,SF,25,BOS,36,399,.460,.576,.293,.520,.673,.566,.520,.410,97,105,80,95,86,97,205,105,-5.6,-4.2,brissos01,2023-2024,NBA
Malcolm Brogdon,PG,31,POR,39,1121,.440,.458,.412,.522,.819,.560,.234,.401,92,84,112,95,104,96,92,102,-25.6,-24.3,brogdma01,2023-2024,NBA
Armoni Brooks,PG,25,BRK,10,104,.326,.286,.344,.446,.500,.448,.043,.696,69,52,94,81,64,77,17,177,-9.4,-12.6,brookar01,2023-2024,NBA
Dillon Brooks,SF,28,HOU,45,1414,.448,.488,.399,.537,.853,.575,.214,.448,94,89,109,98,109,99,84,114,-10.9,-8.9,brookdi01,2023-2024,NBA
Bruce Brown,PG-SG-SF,27,TOT,47,1346,.472,.536,.320,.520,.850,.561,.233,.298,99,98,87,95,108,96,92,76,-24.3,-20.2,brownbr01,2023-2024,NBA
Bruce Brown,SG,27,IND,33,981,.475,.545,.327,.527,.817,.568,.261,.322,100,100,89,96,104,98,103,82,-13.2,-9.9,brownbr01,2023-2024,NBA
Bruce Brown,PG,27,TOR,14,365,.466,.517,.296,.500,1.000,.541,.155,.233,98,95,81,91,128,93,61,59,-11.1,-10.4,brownbr01,2023-2024,NBA
Charlie Brown Jr.,SG,26,NYK,6,33,.222,.000,.333,.333,,.333,.000,.667,47,,91,61,,57,,170,-3.9,-4.5,brownch02,2023-2024,NBA
Greg Brown III,PF,22,DAL,6,40,.455,.500,.333,.500,.444,.501,.818,.273,95,92,91,91,57,86,322,70,-1.1,-2.4,browngr01,2023-2024,NBA
Jaylen Brown,SF,27,BOS,50,1670,.492,.566,.342,.549,.718,.574,.242,.328,103,104,93,100,92,99,95,84,.9,-15.9,brownja02,2023-2024,NBA
Kendall Brown,SG,20,IND,5,20,.500,.600,.000,.500,.667,.579,1.000,.167,105,110,,91,85,99,394,42,-0.6,-0.1,brownke03,2023-2024,NBA
Kobe Brown,PF,24,LAC,32,279,.371,.478,.308,.468,.500,.469,.032,.629,78,88,84,85,64,81,13,160,-10.0,-14.3,brownko01,2023-2024,NBA
Moses Brown,C,24,POR,9,82,.429,.429,,.429,.000,.395,.190,.000,90,78,,78,,68,75,,-5.0,-8.5,brownmo01,2023-2024,NBA
Troy Brown Jr.,SF,24,TOT,40,458,.440,.600,.372,.571,.875,.602,.179,.701,92,110,101,104,112,103,71,179,6.1,5.6,browntr01,2023-2024,NBA
Troy Brown Jr.,SF,24,MIN,37,410,.441,.618,.369,.572,.864,.603,.186,.712,93,113,101,104,110,104,73,181,5.7,5.2,browntr01,2023-2024,NBA
Troy Brown Jr.,SF,24,DET,3,48,.438,.500,.400,.562,1.000,.592,.125,.625,92,92,109,103,128,102,49,159,.5,.3,browntr01,2023-2024,NBA
Jalen Brunson,PG,27,NYK,52,1865,.483,.516,.411,.548,.835,.596,.309,.319,101,94,112,100,106,102,122,81,.3,32.6,brunsja01,2023-2024,NBA
Thomas Bryant,C,26,MIA,25,259,.571,.603,.000,.571,.818,.611,.286,.052,120,110,,104,104,105,112,13,3.6,5.0,bryanth01,2023-2024,NBA
Kobe Bufkin,SG,20,ATL,5,25,.300,.333,.286,.400,.500,.414,.200,.700,63,61,78,73,64,71,79,178,-3.0,-3.7,bufkiko01,2023-2024,NBA
Reggie Bullock,SF,32,HOU,22,206,.426,.455,.417,.585,1.000,.590,.021,.766,89,83,114,107,128,101,8,195,3.5,.7,bullore01,2023-2024,NBA
Alec Burks,SG,32,TOT,46,970,.390,.374,.400,.509,.901,.573,.320,.597,82,69,109,93,115,98,126,152,-34.6,-10.1,burksal01,2023-2024,NBA
Alec Burks,SG,32,DET,43,901,.394,.384,.401,.516,.903,.581,.330,.608,83,70,109,94,115,100,130,155,-26.0,-1.7,burksal01,2023-2024,NBA
Alec Burks,SG,32,NYK,3,69,.342,.300,.389,.434,.875,.482,.211,.474,72,55,106,79,112,83,83,121,-8.7,-8.4,burksal01,2023-2024,NBA
Jared Butler,SG,23,WAS,18,130,.560,.692,.417,.660,.800,.689,.300,.480,118,127,114,120,102,118,118,122,11.2,12.1,butleja02,2023-2024,NBA
Jimmy Butler,PF,34,MIA,37,1254,.500,.512,.440,.537,.869,.631,.601,.169,105,94,120,98,111,108,237,43,-10.6,61.4,butleji01,2023-2024,NBA
Jamal Cain,PF,24,MIA,16,225,.420,.488,.308,.478,.783,.531,.333,.377,88,89,84,87,100,91,131,96,-9.6,-8.2,cainja01,2023-2024,NBA
Kentavious Caldwell-Pope,SG,30,DEN,50,1596,.443,.502,.379,.534,.921,.581,.226,.483,93,92,103,98,117,100,89,123,-10.8,-1.5,caldwke01,2023-2024,NBA
Toumani Camara,PF,23,POR,53,1253,.436,.524,.308,.498,.724,.529,.238,.408,92,96,84,91,92,91,94,104,-31.6,-37.6,camarto01,2023-2024,NBA
Clint Capela,C,29,ATL,47,1209,.575,.575,,.575,.649,.595,.332,.000,121,105,,105,83,102,131,,21.1,11.6,capelca01,2023-2024,NBA
Jevon Carter,PG,28,CHI,52,710,.371,.433,.337,.480,.600,.482,.018,.647,78,79,92,88,77,83,7,165,-37.4,-56.0,carteje01,2023-2024,NBA
Wendell Carter Jr.,C,24,ORL,29,759,.535,.611,.402,.608,.727,.637,.341,.363,112,112,110,111,93,109,134,92,27.3,28.2,cartewe01,2023-2024,NBA
Alex Caruso,SG,29,CHI,47,1274,.482,.606,.401,.603,.781,.628,.219,.605,101,111,109,110,100,108,86,154,36.9,33.4,carusal01,2023-2024,NBA
Colin Castleton,C,23,LAL,7,36,.700,.700,,.700,1.000,.765,.400,.000,147,128,,128,128,131,157,,3.0,4.3,castlco01,2023-2024,NBA
Malcolm Cazalon,SG,22,DET,1,3,,,,,,,,,,,,,,,,,.0,.0,cazalma01,2023-2024,NBA
Julian Champagnie,SF,22,SAS,48,796,.398,.476,.368,.531,.822,.563,.199,.721,84,87,100,97,105,97,78,184,-7.7,-9.4,champju02,2023-2024,NBA
Max Christie,SG,20,LAL,43,740,.422,.484,.356,.508,.784,.539,.200,.486,89,89,97,93,100,93,79,124,-14.8,-17.5,chrisma02,2023-2024,NBA
Sidy Cissoko,SF,19,SAS,5,32,.167,.500,.000,.167,1.000,.387,.667,.667,35,92,,30,128,66,262,170,-4.6,-3.0,cissosi01,2023-2024,NBA
Jordan Clarkson,SG,31,UTA,46,1387,.415,.487,.299,.472,.879,.525,.254,.384,87,89,81,86,112,90,100,98,-103.3,-86.9,clarkjo01,2023-2024,NBA
Nic Claxton,C,24,BRK,44,1294,.625,.629,.250,.626,.570,.629,.303,.011,131,115,68,114,73,108,119,3,58.9,39.5,claxtni01,2023-2024,NBA
Noah Clowney,PF,19,BRK,7,69,.611,.714,.250,.639,1.000,.703,.333,.222,128,131,68,117,128,121,131,57,3.3,5.0,clownno01,2023-2024,NBA
Amir Coffey,SF,26,LAC,41,735,.562,.671,.450,.673,.891,.711,.284,.494,118,123,123,123,114,122,112,126,40.4,46.7,coffeam01,2023-2024,NBA
John Collins,PF,26,UTA,52,1447,.523,.610,.335,.576,.780,.603,.218,.317,110,112,91,105,100,104,86,81,31.8,25.9,collijo01,2023-2024,NBA
Zach Collins,C,26,SAS,43,1040,.475,.582,.267,.520,.782,.557,.254,.339,100,106,73,95,100,96,100,86,-22.2,-22.5,colliza01,2023-2024,NBA
Mike Conley,PG,36,MIN,50,1446,.444,.446,.442,.588,.923,.619,.163,.652,93,82,121,107,118,106,64,166,31.7,30.8,conlemi01,2023-2024,NBA
Pat Connaughton,SF,31,MIL,50,1065,.456,.623,.385,.591,.690,.602,.142,.701,96,114,105,108,88,103,56,179,17.4,8.5,connapa01,2023-2024,NBA
Bilal Coulibaly,SF,19,WAS,53,1426,.444,.500,.363,.518,.702,.550,.292,.410,93,92,99,95,90,94,115,105,-21.2,-26.1,coulibi01,2023-2024,NBA
Ricky Council IV,SG,22,PHI,14,138,.492,.556,.286,.525,.786,.613,.712,.237,103,102,78,96,100,105,280,60,-2.7,4.7,councri01,2023-2024,NBA
Robert Covington,SF-PF,33,TOT,29,488,.439,.571,.339,.536,.846,.580,.265,.571,92,105,92,98,108,100,104,146,-2.4,-0.5,covinro01,2023-2024,NBA
Robert Covington,PF,33,LAC,3,69,.333,1.000,.250,.444,.500,.455,.222,.889,70,183,68,81,64,78,87,227,-1.9,-2.5,covinro01,2023-2024,NBA
Robert Covington,SF,33,PHI,26,419,.449,.561,.354,.545,.875,.593,.270,.539,94,103,96,99,112,102,106,137,-0.5,2.0,covinro01,2023-2024,NBA
Torrey Craig,SF,33,CHI,33,694,.425,.500,.374,.536,.778,.559,.162,.593,89,92,102,98,99,96,64,151,-4.0,-8.4,craigto01,2023-2024,NBA
Jae Crowder,PF,33,MIL,25,618,.440,.571,.370,.560,.667,.574,.170,.652,92,105,101,102,85,99,67,166,3.5,-2.6,crowdja01,2023-2024,NBA
Cade Cunningham,PG,22,DET,44,1496,.446,.489,.335,.493,.857,.539,.242,.277,94,89,91,90,109,93,95,71,-89.7,-78.0,cunnica01,2023-2024,NBA
Seth Curry,SG,33,TOT,39,513,.395,.440,.359,.494,.905,.522,.126,.551,83,81,98,90,115,90,49,140,-18.0,-21.3,curryse01,2023-2024,NBA
Seth Curry,SG,33,DAL,36,457,.372,.385,.362,.472,.895,.502,.131,.552,78,70,99,86,114,86,52,141,-21.9,-24.7,curryse01,2023-2024,NBA
Seth Curry,SG,33,CHO,3,56,.545,.800,.333,.636,1.000,.656,.091,.545,115,146,91,116,128,113,36,139,3.9,3.3,curryse01,2023-2024,NBA
Stephen Curry,PG,35,GSW,50,1673,.462,.526,.421,.589,.922,.636,.258,.606,97,96,115,108,118,109,101,154,82.0,118.0,curryst01,2023-2024,NBA
Dyson Daniels,PG,20,NOP,52,1139,.438,.548,.291,.500,.640,.518,.195,.430,92,100,79,91,82,89,77,110,-24.6,-35.9,daniedy01,2023-2024,NBA
Anthony Davis,C,30,LAL,52,1858,.553,.575,.284,.563,.810,.617,.400,.075,116,105,77,103,103,106,158,19,27.3,71.8,davisan02,2023-2024,NBA
JD Davison,SG,21,BOS,2,6,.000,,.000,.000,1.000,.532,2.000,1.000,,,,,128,91,787,255,-1.1,-0.2,davisjd01,2023-2024,NBA
Johnny Davis,SG,21,WAS,23,183,.407,.423,.286,.424,.571,.435,.119,.119,85,77,78,77,73,75,47,30,-14.7,-18.3,davisjo06,2023-2024,NBA
Dexter Dennis,SG,24,DAL,4,30,.526,.818,.125,.553,.333,.541,.158,.421,111,150,34,101,43,93,62,107,.2,-1.7,dennide01,2023-2024,NBA
DeMar DeRozan,SF,34,CHI,53,1996,.472,.499,.333,.499,.852,.574,.431,.167,99,91,91,91,109,99,170,43,-85.5,-17.5,derozde01,2023-2024,NBA
Moussa Diabaté,C,22,LAC,10,58,.500,.500,,.500,.750,.580,.667,.000,105,92,,91,96,100,262,,-1.7,-0.1,diabamo01,2023-2024,NBA
Mamadi Diakite,PF,27,SAS,3,16,.800,.800,,.800,.667,.785,1.200,.000,168,146,,146,85,135,472,,2.5,3.1,diakima01,2023-2024,NBA
Hamidou Diallo,SG,25,WAS,2,5,.500,.500,,.500,,.500,.000,.000,105,92,,91,,86,,,-0.2,-0.3,diallha01,2023-2024,NBA
Gradey Dick,SG,20,TOR,34,520,.403,.475,.357,.513,.920,.547,.157,.616,85,87,97,94,117,94,62,157,-11.3,-12.1,dickgr01,2023-2024,NBA
Ousmane Dieng,PF,20,OKC,29,326,.426,.622,.312,.525,.875,.555,.158,.634,89,114,85,96,112,95,62,162,-4.7,-5.9,diengou01,2023-2024,NBA
Spencer Dinwiddie,PG,30,TOT,50,1533,.393,.487,.321,.483,.783,.533,.315,.562,83,89,87,88,100,91,124,143,-66.1,-57.9,dinwisp01,2023-2024,NBA
Spencer Dinwiddie,PG,30,BRK,48,1474,.391,.480,.320,.480,.781,.530,.321,.557,82,88,87,88,100,91,126,142,-67.9,-59.4,dinwisp01,2023-2024,NBA
Spencer Dinwiddie,PG,30,LAL,2,59,.500,1.000,.333,.625,1.000,.643,.083,.750,105,183,91,114,128,110,33,191,1.8,1.5,dinwisp01,2023-2024,NBA
Donte DiVincenzo,SG,27,NYK,54,1348,.458,.554,.415,.602,.729,.613,.123,.693,96,101,113,110,93,105,48,177,61.2,37.0,divindo01,2023-2024,NBA
Luka Dončić,PG,24,DAL,47,1760,.492,.583,.375,.574,.777,.620,.398,.438,103,107,102,105,99,106,157,112,57.1,97.1,doncilu01,2023-2024,NBA
Luguentz Dort,SF,24,OKC,52,1481,.439,.509,.390,.554,.814,.590,.241,.592,92,93,106,101,104,101,95,151,5.3,6.7,dortlu01,2023-2024,NBA
Ayo Dosunmu,SG,24,CHI,53,1349,.505,.569,.417,.593,.767,.610,.145,.423,106,104,114,108,98,105,57,108,37.2,23.9,dosunay01,2023-2024,NBA
Andre Drummond,C,30,CHI,55,919,.557,.562,.000,.557,.556,.569,.440,.009,117,103,,102,71,98,173,2,5.6,-10.8,drumman01,2023-2024,NBA
Chris Duarte,SF,26,SAC,37,472,.364,.414,.324,.453,.769,.488,.202,.550,77,76,88,83,98,84,79,140,-24.4,-26.6,duartch01,2023-2024,NBA
Kris Dunn,PG,29,UTA,48,864,.477,.510,.416,.550,.696,.560,.104,.347,100,93,113,100,89,96,41,88,.7,-10.4,dunnkr01,2023-2024,NBA
Kevin Durant,PF,35,PHO,48,1775,.538,.573,.443,.598,.871,.647,.331,.268,113,105,121,109,111,111,130,68,90.4,135.7,duranke01,2023-2024,NBA
Jalen Duren,C,20,DET,39,1172,.631,.636,.000,.631,.742,.652,.247,.008,133,116,,115,95,112,97,2,62.8,58.1,durenja01,2023-2024,NBA
